time_utc,forecast_mw,baseline_mw,temp_fc_c,method,issued_utc,weather
2026-09-21 22:00:00+00:00,7559.9,7491.0,11.5,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-21 23:00:00+00:00,7378.8,7352.8,11.0,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 00:00:00+00:00,7263.8,7113.5,10.5,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 01:00:00+00:00,7210.7,7020.8,10.0,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 02:00:00+00:00,7287.9,7030.5,9.5,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 03:00:00+00:00,7705.4,7448.5,9.2,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 04:00:00+00:00,8578.1,8118.2,9.0,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 05:00:00+00:00,9222.9,8737.8,8.8,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 06:00:00+00:00,9498.7,9086.8,9.4,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 07:00:00+00:00,9476.9,9042.2,10.6,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 08:00:00+00:00,9348.2,9172.2,12.0,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 09:00:00+00:00,9237.2,9311.5,13.6,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 10:00:00+00:00,9079.1,9525.8,14.9,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 11:00:00+00:00,8985.3,9595.2,15.8,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 12:00:00+00:00,8940.7,9491.0,16.3,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 13:00:00+00:00,8940.0,9375.8,16.4,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 14:00:00+00:00,8963.0,9293.8,16.0,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 15:00:00+00:00,9144.5,9333.5,15.8,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 16:00:00+00:00,9152.9,9406.2,14.9,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 17:00:00+00:00,9207.9,9359.0,13.4,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 18:00:00+00:00,9090.8,9202.0,12.4,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 19:00:00+00:00,8872.5,8855.2,11.2,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 20:00:00+00:00,8451.2,8230.0,10.8,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
2026-09-22 21:00:00+00:00,7980.8,7640.5,10.3,model,2026-09-21T15:04Z,smhi 2026-09-21T14:45:00Z
