time_utc,forecast_mw,baseline_mw,temp_fc_c,method,model_version,issued_utc,before_gate_closure,weather
2026-09-22 22:00:00+00:00,7694.2,7390.8,8.7,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-22 23:00:00+00:00,7590.4,7418.0,8.1,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 00:00:00+00:00,7519.3,7369.8,7.6,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 01:00:00+00:00,7523.0,7360.0,7.2,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 02:00:00+00:00,7503.8,7277.5,6.7,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 03:00:00+00:00,7854.6,7422.8,6.4,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 04:00:00+00:00,8914.8,8321.8,6.3,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 05:00:00+00:00,9504.3,9149.8,6.4,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 06:00:00+00:00,9633.5,9352.8,7.5,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 07:00:00+00:00,9509.3,9496.0,9.2,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 08:00:00+00:00,9323.4,9423.8,11.4,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 09:00:00+00:00,9192.8,9383.2,13.1,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 10:00:00+00:00,9061.0,9160.8,14.3,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 11:00:00+00:00,8986.0,9186.0,15.2,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 12:00:00+00:00,8881.3,9069.8,15.7,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 13:00:00+00:00,8880.5,9236.5,15.9,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 14:00:00+00:00,8937.4,9281.0,15.9,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 15:00:00+00:00,9136.0,9485.5,15.5,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 16:00:00+00:00,9188.5,9454.5,14.7,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 17:00:00+00:00,9337.7,9386.8,13.1,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 18:00:00+00:00,9251.1,9393.2,12.0,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 19:00:00+00:00,8937.4,8917.2,11.4,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 20:00:00+00:00,8475.5,8547.5,10.9,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
2026-09-23 21:00:00+00:00,8119.2,8470.0,10.6,model,v2,2026-09-22T12:28Z,False,smhi regional 9 cities (fresh)
