time_utc,forecast_mw,p10_mw,p90_mw,baseline_mw,temp_fc_c,method,model_version,issued_utc,before_gate_closure,weather
2026-09-26 22:00:00+00:00,7082.6,6656.7,7422.7,7073.0,10.0,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-26 23:00:00+00:00,7019.3,6593.4,7359.4,6975.8,9.6,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 00:00:00+00:00,6939.9,6514.0,7279.9,6935.8,9.3,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 01:00:00+00:00,6937.3,6511.4,7277.4,6873.2,9.1,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 02:00:00+00:00,6870.6,6444.7,7210.6,6832.5,9.0,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 03:00:00+00:00,6943.0,6517.1,7283.0,6901.5,8.9,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 04:00:00+00:00,7053.8,6642.2,7489.1,7020.0,9.1,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 05:00:00+00:00,7225.0,6813.3,7660.3,7126.2,9.3,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 06:00:00+00:00,7561.8,7150.1,7997.1,7436.5,10.0,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 07:00:00+00:00,7706.2,7294.5,8141.5,7604.0,11.2,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 08:00:00+00:00,7859.4,7447.7,8294.7,7865.8,12.5,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 09:00:00+00:00,8002.1,7590.4,8437.4,8086.5,13.8,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 10:00:00+00:00,8065.9,7586.6,8569.6,8227.0,14.9,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 11:00:00+00:00,8013.5,7534.3,8517.3,8215.0,15.9,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 12:00:00+00:00,8001.4,7522.2,8505.1,8160.5,16.5,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 13:00:00+00:00,7973.1,7493.8,8476.8,8216.8,16.9,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 14:00:00+00:00,8111.5,7632.3,8615.2,8294.2,17.1,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 15:00:00+00:00,8515.4,8036.2,9019.1,8578.5,16.6,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 16:00:00+00:00,8736.7,8325.9,9144.8,8886.0,15.3,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 17:00:00+00:00,8973.0,8562.2,9381.0,9086.2,13.4,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 18:00:00+00:00,8866.2,8455.4,9274.3,8973.8,12.1,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 19:00:00+00:00,8486.5,8075.7,8894.5,8485.8,11.4,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 20:00:00+00:00,8063.4,7652.6,8471.5,8104.5,10.9,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-27 21:00:00+00:00,7737.4,7326.6,8145.5,7765.8,10.7,model,v2,2026-09-26T09:30Z,True,smhi regional 9 cities (fresh)
