run_utc,target_date,method,note,model_version,before_gate_closure
2026-09-18T14:39Z,2026-09-19,model,trained on 32386 h; weather: smhi 2026-09-18T14:15:00Z,,
2026-09-18T14:50Z,2026-09-19,exists,2026-09-19.csv already published,,
2026-09-19T12:28Z,2026-09-20,model,trained on 32411 h; weather: smhi 2026-09-19T12:00:00Z,,
2026-09-20T13:01Z,2026-09-21,model,trained on 32436 h; weather: smhi 2026-09-20T12:30:00Z,,
2026-09-21T15:04Z,2026-09-22,model,trained on 32462 h; weather: smhi 2026-09-21T14:45:00Z,,
2026-09-22T12:28Z,2026-09-23,model,trained on 32482 h; weather: smhi regional 9 cities (fresh),v2,False
2026-09-22T12:50Z,2026-09-23,exists,2026-09-23.csv already published,,
2026-09-23T09:30Z,2026-09-24,model,trained on 32499 h; weather: smhi regional 9 cities (fresh),v2,True
2026-09-23T11:23Z,2026-09-24,exists,2026-09-24.csv already published,,
2026-09-23T12:57Z,2026-09-24,exists,2026-09-24.csv already published,,
